Algoritmo (operador de mutacion),Hipervolumen,IGD,Epsilon,Cardinalidad del cto. de soluciones no-dominadas
j3064_10 (mutacion actividades),16397.55,0.0,0.0,8
j3064_10 (mutacion actividades),16397.55,0.0,0.0,8
j3064_10 (mutacion actividades),16397.55,0.0,0.0,8
j3064_10 (mutacion actividades),16397.55,0.0,0.0,8
j3064_10 (mutacion actividades),16397.55,0.0,0.0,8
j3064_10 (mutacion actividades),15270.82,31.9402,11.6,9
j3064_10 (mutacion actividades),16355.15,2.6618,2.0,7
j3064_10 (mutacion actividades),16340.55,7.125,1.0,8
j3064_10 (mutacion actividades),16318.95,9.825,1.0,8
j3064_10 (mutacion actividades),16181.99,12.8081,52.2,7
j3064_10 (mutacion modo),16397.55,0.0,0.0,8
j3064_10 (mutacion modo),16397.55,0.0,0.0,8
j3064_10 (mutacion modo),16397.55,0.0,0.0,8
j3064_10 (mutacion modo),16397.55,0.0,0.0,8
j3064_10 (mutacion modo),16367.35,3.775,1.0,8
j3064_10 (mutacion modo),16397.55,0.0,0.0,8
j3064_10 (mutacion modo),16397.55,0.0,0.0,8
j3064_10 (mutacion modo),16256.15,17.675,1.0,8
j3064_10 (mutacion modo),16397.55,0.0,0.0,8
j3064_10 (mutacion modo),16397.55,0.0,0.0,8
